type,client,tx,amount
deposit,91,233,22
deposit,68,234,84
withdrawal,55,235,0
deposit,37,236,83
deposit,54,237,50
withdrawal,75,238,56
withdrawal,52,239,74
withdrawal,25,240,13
deposit,48,241,13
withdrawal,66,242,94
withdrawal,52,243,85
deposit,99,244,15
deposit,10,245,9
withdrawal,70,246,9
withdrawal,36,247,48
deposit,77,248,36
withdrawal,16,249,94
deposit,40,250,100
deposit,39,251,93
withdrawal,28,252,87
withdrawal,2,253,34
withdrawal,57,254,77
deposit,20,255,66
withdrawal,86,256,8
deposit,77,257,4
deposit,42,258,52
withdrawal,79,259,86
deposit,86,260,17
withdrawal,51,261,32
deposit,89,262,88
withdrawal,84,263,3
withdrawal,17,264,85
deposit,100,265,89
deposit,16,266,41
withdrawal,82,267,91
withdrawal,71,268,2
deposit,49,269,17
deposit,57,270,65
deposit,96,271,85
deposit,88,272,56
deposit,63,273,32
withdrawal,73,274,31
deposit,76,275,40
deposit,5,276,8
withdrawal,62,277,87
deposit,86,278,74
withdrawal,8,279,79
deposit,17,280,51
withdrawal,57,281,81
withdrawal,33,282,38
deposit,87,283,67
deposit,14,284,18
deposit,18,285,62
withdrawal,75,286,45
withdrawal,91,287,13
withdrawal,21,288,74
withdrawal,0,289,73
deposit,58,290,18
deposit,89,291,14
withdrawal,89,292,13
withdrawal,28,293,18
deposit,56,294,88
withdrawal,35,295,48
deposit,8,296,84
withdrawal,75,297,84
withdrawal,83,298,16
deposit,82,299,30
withdrawal,75,300,33
deposit,93,301,7
deposit,50,302,33
withdrawal,38,303,87
deposit,15,304,97
deposit,92,305,47
withdrawal,1,306,35
deposit,19,307,19
deposit,26,308,35
deposit,48,309,61
deposit,22,310,77
deposit,88,311,86
deposit,52,312,78
deposit,89,313,89
withdrawal,24,314,43
deposit,60,315,65
deposit,73,316,56
withdrawal,15,317,61
deposit,94,318,4
withdrawal,26,319,86
withdrawal,13,320,69
deposit,29,321,73
deposit,72,322,50
deposit,67,323,55
withdrawal,74,324,43
withdrawal,57,325,80
deposit,89,326,13
deposit,24,327,7
withdrawal,63,328,92
deposit,66,329,85
deposit,17,330,13
withdrawal,51,331,26
withdrawal,75,332,51
deposit,45,333,86
deposit,85,334,85
deposit,45,335,10
withdrawal,29,336,29
deposit,12,337,6
deposit,52,338,46
deposit,57,339,39
withdrawal,21,340,73
withdrawal,32,341,42
withdrawal,29,342,5
deposit,71,343,44
deposit,45,344,93
deposit,99,345,55
withdrawal,71,346,6
deposit,45,347,93
deposit,24,348,94
deposit,24,349,18
withdrawal,20,350,43
deposit,58,351,4
withdrawal,99,352,100
withdrawal,100,353,54
withdrawal,99,354,49
withdrawal,75,355,3
deposit,95,356,85
deposit,36,357,83
deposit,6,358,87
deposit,18,359,35
withdrawal,73,360,29
deposit,27,361,11
withdrawal,46,362,24
deposit,18,363,96
withdrawal,31,364,97
withdrawal,90,365,23
withdrawal,17,366,34
deposit,14,367,47
deposit,56,368,62
deposit,3,369,64
deposit,37,370,75
deposit,42,371,12
deposit,64,372,18
withdrawal,60,373,75
deposit,79,374,17
withdrawal,99,375,15
deposit,96,376,54
deposit,14,377,72
deposit,43,378,19
deposit,10,379,44
withdrawal,22,380,49
deposit,16,381,16
deposit,73,382,50
deposit,6,383,26
withdrawal,24,384,99
withdrawal,27,385,62
deposit,53,386,70
deposit,18,387,65
deposit,72,388,53
withdrawal,41,389,81
withdrawal,28,390,27
withdrawal,56,391,70
deposit,94,392,98
withdrawal,24,393,9
withdrawal,62,394,43
deposit,1,395,69
deposit,33,396,42
deposit,30,397,72
withdrawal,45,398,54
withdrawal,86,399,53
deposit,35,400,65
withdrawal,59,401,1
withdrawal,99,402,6
withdrawal,61,403,6
deposit,99,404,41
deposit,24,405,61
deposit,42,406,30
withdrawal,74,407,69
withdrawal,51,408,96
deposit,35,409,18
withdrawal,38,410,52
withdrawal,20,411,72
deposit,54,412,3
deposit,14,413,27
withdrawal,100,414,55
deposit,68,415,21
deposit,92,416,89
withdrawal,35,417,35
withdrawal,22,418,40
withdrawal,90,419,89
deposit,15,420,12
deposit,10,421,52
withdrawal,62,422,99
deposit,53,423,64
deposit,63,424,14
deposit,1,425,100
deposit,15,426,87
deposit,49,427,21
withdrawal,26,428,20
deposit,82,429,43
deposit,98,430,35
deposit,36,431,33
deposit,43,432,45
deposit,33,433,89
withdrawal,32,434,93
deposit,34,435,57
withdrawal,1,436,49
deposit,91,437,51
withdrawal,80,438,83
withdrawal,93,439,9
withdrawal,8,440,76
withdrawal,100,441,47
deposit,88,442,10
withdrawal,48,443,57
withdrawal,74,444,50
withdrawal,28,445,77
withdrawal,81,446,1
withdrawal,75,447,8
withdrawal,81,448,77
deposit,59,449,12
deposit,72,450,30
deposit,90,451,13
withdrawal,74,452,36
deposit,70,453,76
deposit,89,454,55
withdrawal,5,455,27
deposit,47,456,30
deposit,85,457,26
withdrawal,13,458,22
deposit,62,459,22
deposit,52,460,77
deposit,9,461,6
deposit,19,462,62
withdrawal,59,463,99
withdrawal,17,464,75
withdrawal,34,465,15
deposit,92,466,47
withdrawal,76,467,96
withdrawal,9,468,17
deposit,82,469,86
deposit,0,470,83
withdrawal,99,471,18
withdrawal,14,472,40
deposit,87,473,42
withdrawal,61,474,37
withdrawal,53,475,69
deposit,47,476,40
deposit,14,477,28
deposit,34,478,7
withdrawal,55,479,56
withdrawal,24,480,21
withdrawal,50,481,48
withdrawal,20,482,66
withdrawal,24,483,96
withdrawal,66,484,55
withdrawal,63,485,7
deposit,55,486,31
withdrawal,84,487,73
withdrawal,54,488,94
withdrawal,89,489,35
deposit,36,490,53
withdrawal,34,491,80
deposit,19,492,11
deposit,10,493,24
deposit,19,494,25
deposit,99,495,54
withdrawal,50,496,73
withdrawal,9,497,89
withdrawal,52,498,86
withdrawal,85,499,94
withdrawal,37,500,87
deposit,11,501,35
deposit,94,502,38
withdrawal,97,503,53
withdrawal,68,504,100
withdrawal,53,505,21
withdrawal,34,506,59
withdrawal,53,507,30
withdrawal,31,508,70
withdrawal,100,509,7
withdrawal,11,510,20
withdrawal,12,511,33
deposit,73,512,68
deposit,35,513,48
deposit,75,514,65
withdrawal,6,515,2
withdrawal,40,516,93
withdrawal,82,517,40
withdrawal,42,518,72
deposit,15,519,98
withdrawal,54,520,50
withdrawal,17,521,21
deposit,13,522,50
deposit,25,523,88
withdrawal,0,524,4
withdrawal,65,525,67
withdrawal,66,526,30
withdrawal,36,527,51
deposit,40,528,29
deposit,80,529,94
withdrawal,100,530,37
deposit,65,531,71
deposit,59,532,87
deposit,59,533,39
deposit,96,534,39
withdrawal,33,535,39
deposit,94,536,69
withdrawal,75,537,76
deposit,51,538,9
withdrawal,35,539,83
withdrawal,32,540,68
withdrawal,81,541,46
withdrawal,20,542,79
withdrawal,19,543,45
deposit,64,544,8
withdrawal,69,545,33
deposit,83,546,89
withdrawal,81,547,2
deposit,41,548,79
withdrawal,11,549,81
deposit,88,550,85
withdrawal,48,551,55
deposit,52,552,45
deposit,75,553,100
deposit,87,554,87
deposit,42,555,99
withdrawal,54,556,31
deposit,69,557,43
withdrawal,31,558,41
withdrawal,44,559,41
withdrawal,24,560,5
withdrawal,98,561,47
deposit,47,562,65
deposit,43,563,90
deposit,67,564,100
deposit,89,565,62
withdrawal,0,566,19
deposit,13,567,93
deposit,38,568,57
deposit,2,569,79
withdrawal,58,570,93
deposit,39,571,31
deposit,55,572,42
withdrawal,10,573,59
deposit,37,574,21
withdrawal,100,575,59
deposit,73,576,28
withdrawal,80,577,5
withdrawal,73,578,54
withdrawal,44,579,21
deposit,29,580,84
deposit,93,581,73
deposit,73,582,23
withdrawal,2,583,95
deposit,57,584,55
withdrawal,22,585,76
withdrawal,35,586,87
withdrawal,5,587,79
deposit,53,588,54
withdrawal,94,589,76
deposit,91,590,99
withdrawal,89,591,1
deposit,39,592,21
withdrawal,30,593,58
withdrawal,56,594,47
withdrawal,99,595,91
withdrawal,41,596,95
deposit,20,597,3
withdrawal,46,598,66
deposit,98,599,98
deposit,54,600,21
withdrawal,92,601,93
withdrawal,37,602,1
withdrawal,61,603,29
withdrawal,93,604,9
withdrawal,8,605,45
withdrawal,99,606,50
withdrawal,100,607,73
deposit,3,608,33
withdrawal,65,609,50
deposit,58,610,85
withdrawal,72,611,97
withdrawal,85,612,74
withdrawal,9,613,20
deposit,76,614,47
withdrawal,67,615,9
withdrawal,41,616,51
deposit,92,617,21
deposit,7,618,77
deposit,83,619,70
deposit,37,620,7
deposit,21,621,73
withdrawal,96,622,23
deposit,62,623,9
deposit,75,624,1
deposit,2,625,49
withdrawal,44,626,56
withdrawal,92,627,80
withdrawal,65,628,8
withdrawal,77,629,63
deposit,60,630,86
deposit,89,631,16
withdrawal,69,632,39
deposit,90,633,12
withdrawal,16,634,7
deposit,11,635,25
deposit,94,636,43
withdrawal,57,637,41
deposit,28,638,79
deposit,75,639,25
deposit,27,640,13
withdrawal,18,641,18
withdrawal,74,642,71
deposit,17,643,72
deposit,86,644,46
deposit,14,645,85
deposit,88,646,20
deposit,64,647,8
withdrawal,78,648,38
withdrawal,49,649,57
deposit,75,650,34
deposit,89,651,30
deposit,3,652,83
withdrawal,83,653,10
deposit,57,654,73
withdrawal,5,655,25
withdrawal,94,656,83
deposit,4,657,18
withdrawal,96,658,39
deposit,59,659,32
deposit,35,660,55
deposit,95,661,98
withdrawal,15,662,65
deposit,67,663,74
deposit,28,664,35
withdrawal,1,665,0
deposit,61,666,31
withdrawal,8,667,18
deposit,82,668,39
deposit,55,669,58
withdrawal,9,670,38
withdrawal,68,671,72
deposit,10,672,18
deposit,61,673,53
withdrawal,71,674,73
deposit,89,675,90
withdrawal,16,676,62
withdrawal,85,677,15
withdrawal,8,678,40
deposit,14,679,74
withdrawal,39,680,14
deposit,12,681,89
deposit,60,682,57
withdrawal,51,683,5
withdrawal,82,684,85
withdrawal,12,685,38
withdrawal,67,686,26
deposit,43,687,8
deposit,44,688,8
withdrawal,82,689,51
withdrawal,45,690,26
withdrawal,4,691,8
deposit,31,692,76
deposit,42,693,70
withdrawal,80,694,59
withdrawal,9,695,43
deposit,61,696,54
withdrawal,24,697,38
deposit,69,698,29
deposit,84,699,40
deposit,92,700,67
withdrawal,5,701,79
withdrawal,14,702,41
withdrawal,38,703,48
deposit,72,704,15
withdrawal,83,705,56
deposit,80,706,23
deposit,80,707,25
withdrawal,66,708,44
deposit,9,709,97
deposit,84,710,81
withdrawal,52,711,27
withdrawal,66,712,10
withdrawal,18,713,7
withdrawal,36,714,28
withdrawal,77,715,72
deposit,59,716,83
deposit,20,717,39
withdrawal,77,718,68
deposit,4,719,10
withdrawal,2,720,80
withdrawal,69,721,31
withdrawal,71,722,67
withdrawal,49,723,53
withdrawal,42,724,45
deposit,66,725,36
withdrawal,80,726,75
withdrawal,78,727,8
withdrawal,65,728,21
deposit,8,729,44
withdrawal,68,730,10
withdrawal,59,731,4
deposit,92,732,28
withdrawal,52,733,32
deposit,7,734,33
deposit,70,735,7
withdrawal,91,736,14
deposit,82,737,30
deposit,57,738,78
deposit,33,739,45
withdrawal,98,740,71
withdrawal,59,741,13
withdrawal,71,742,82
deposit,4,743,86
deposit,17,744,99
deposit,75,745,19
withdrawal,40,746,54
deposit,67,747,7
deposit,41,748,90
deposit,78,749,81
withdrawal,3,750,84
withdrawal,28,751,23
withdrawal,30,752,11
deposit,21,753,53
withdrawal,83,754,27
withdrawal,33,755,38
withdrawal,79,756,14
withdrawal,90,757,14
withdrawal,90,758,58
deposit,38,759,48
deposit,81,760,72
withdrawal,40,761,48
deposit,39,762,23
deposit,41,763,74
withdrawal,77,764,47
deposit,79,765,59
withdrawal,22,766,99
withdrawal,25,767,71
deposit,90,768,79
withdrawal,9,769,71
deposit,2,770,13
withdrawal,31,771,7
deposit,39,772,20
deposit,22,773,12
deposit,36,774,44
deposit,10,775,80
withdrawal,47,776,80
deposit,37,777,89
withdrawal,74,778,92
deposit,44,779,4
withdrawal,6,780,18
deposit,72,781,2
deposit,26,782,9
withdrawal,92,783,37
deposit,25,784,49
withdrawal,28,785,31
withdrawal,40,786,13
withdrawal,98,787,73
withdrawal,76,788,79
deposit,46,789,56
withdrawal,10,790,50
withdrawal,4,791,99
withdrawal,44,792,8
withdrawal,52,793,41
deposit,10,794,5
withdrawal,63,795,73
deposit,3,796,88
withdrawal,55,797,36
deposit,70,798,7
withdrawal,3,799,13
withdrawal,14,800,51
withdrawal,1,801,42
withdrawal,60,802,44
deposit,47,803,14
deposit,79,804,64
deposit,56,805,6
withdrawal,89,806,38
withdrawal,22,807,1
withdrawal,53,808,45
withdrawal,17,809,87
withdrawal,34,810,10
withdrawal,75,811,51
deposit,99,812,71
deposit,73,813,29
deposit,60,814,71
withdrawal,16,815,92
withdrawal,71,816,21
withdrawal,72,817,8
withdrawal,60,818,50
deposit,85,819,39
withdrawal,38,820,75
deposit,100,821,55
withdrawal,32,822,43
deposit,93,823,78
deposit,93,824,84
deposit,83,825,1
withdrawal,68,826,54
deposit,5,827,58
withdrawal,21,828,43
withdrawal,2,829,70
withdrawal,76,830,34
withdrawal,62,831,72
deposit,37,832,88
withdrawal,53,833,71
deposit,42,834,62
withdrawal,23,835,23
deposit,50,836,6
deposit,59,837,47
withdrawal,54,838,95
deposit,59,839,47
deposit,50,840,71
withdrawal,70,841,63
withdrawal,47,842,19
withdrawal,49,843,47
deposit,65,844,63
deposit,42,845,68
deposit,57,846,95
withdrawal,83,847,52
withdrawal,87,848,29
withdrawal,23,849,17
withdrawal,86,850,90
withdrawal,36,851,32
withdrawal,100,852,68
deposit,77,853,79
deposit,10,854,52
withdrawal,63,855,62
deposit,73,856,1
withdrawal,5,857,18
withdrawal,43,858,67
deposit,41,859,70
withdrawal,41,860,25
deposit,94,861,26
deposit,51,862,22
withdrawal,4,863,17
withdrawal,92,864,16
withdrawal,60,865,9
deposit,15,866,79
deposit,11,867,16
deposit,2,868,39
withdrawal,21,869,51
deposit,19,870,31
deposit,86,871,53
deposit,40,872,96
deposit,18,873,42
withdrawal,18,874,41
withdrawal,32,875,90
deposit,57,876,35
withdrawal,25,877,81
deposit,72,878,88
deposit,73,879,27
deposit,92,880,27
withdrawal,23,881,25
withdrawal,29,882,85
deposit,21,883,29
deposit,6,884,18
deposit,93,885,22
deposit,50,886,4
withdrawal,96,887,1
deposit,4,888,14
deposit,14,889,46
withdrawal,11,890,3
withdrawal,37,891,0
withdrawal,54,892,100
deposit,96,893,78
deposit,61,894,94
withdrawal,54,895,71
deposit,10,896,55
withdrawal,77,897,66
withdrawal,20,898,18
deposit,56,899,72
withdrawal,5,900,50
deposit,88,901,60
deposit,93,902,19
withdrawal,15,903,43
deposit,52,904,85
withdrawal,11,905,65
deposit,63,906,66
withdrawal,57,907,26
withdrawal,55,908,53
withdrawal,33,909,58
deposit,16,910,15
deposit,64,911,95
deposit,4,912,12
deposit,80,913,96
withdrawal,87,914,83
deposit,56,915,88
withdrawal,16,916,45
deposit,36,917,91
deposit,39,918,31
deposit,65,919,42
deposit,77,920,40
withdrawal,3,921,39
deposit,5,922,76
deposit,6,923,32
deposit,51,924,88
deposit,88,925,46
deposit,65,926,26
withdrawal,84,927,69
withdrawal,9,928,68
withdrawal,12,929,46
withdrawal,86,930,75
withdrawal,6,931,45
deposit,73,932,5
withdrawal,67,933,27
deposit,74,934,53
withdrawal,1,935,93
deposit,15,936,41
deposit,93,937,52
deposit,49,938,48
withdrawal,65,939,52
deposit,36,940,70
withdrawal,33,941,64
withdrawal,84,942,98
deposit,17,943,46
deposit,44,944,81
deposit,57,945,56
deposit,71,946,42
deposit,88,947,3
deposit,61,948,2
withdrawal,86,949,0
deposit,25,950,50
withdrawal,72,951,71
deposit,11,952,22
deposit,85,953,13
deposit,31,954,90
deposit,20,955,16
deposit,1,956,85
deposit,80,957,17
withdrawal,49,958,69
deposit,60,959,80
withdrawal,29,960,2
withdrawal,91,961,33
withdrawal,32,962,62
withdrawal,82,963,66
withdrawal,61,964,98
withdrawal,25,965,14
withdrawal,74,966,72
deposit,37,967,1
withdrawal,35,968,30
withdrawal,37,969,28
deposit,78,970,70
withdrawal,100,971,36
deposit,74,972,27
withdrawal,0,973,81
withdrawal,72,974,94
deposit,66,975,68
withdrawal,15,976,31
deposit,43,977,53
deposit,58,978,61
withdrawal,26,979,85
withdrawal,28,980,14
withdrawal,1,981,30
deposit,6,982,99
withdrawal,65,983,42
withdrawal,58,984,29
deposit,31,985,61
withdrawal,88,986,52
withdrawal,47,987,96
withdrawal,21,988,15
deposit,33,989,33
deposit,78,990,93
deposit,75,991,16
withdrawal,32,992,43
deposit,89,993,53
deposit,37,994,31
withdrawal,26,995,3
withdrawal,86,996,28
deposit,66,997,26
withdrawal,71,998,50
withdrawal,49,999,86
withdrawal,47,1000,77
withdrawal,7,1001,58
withdrawal,72,1002,23
withdrawal,41,1003,12
withdrawal,0,1004,88
withdrawal,73,1005,97
withdrawal,76,1006,22
deposit,14,1007,90
deposit,19,1008,51
withdrawal,79,1009,88
deposit,79,1010,74
deposit,80,1011,74
withdrawal,54,1012,26
withdrawal,80,1013,77
deposit,13,1014,2
withdrawal,90,1015,13
withdrawal,40,1016,83
deposit,45,1017,18
deposit,9,1018,47
deposit,8,1019,99
withdrawal,26,1020,44
withdrawal,76,1021,38
withdrawal,11,1022,11
withdrawal,9,1023,31
deposit,78,1024,23
deposit,43,1025,49
deposit,51,1026,36
withdrawal,15,1027,63
withdrawal,40,1028,2
deposit,68,1029,95
withdrawal,66,1030,82
withdrawal,68,1031,77
withdrawal,88,1032,90
withdrawal,79,1033,100
withdrawal,47,1034,20
withdrawal,36,1035,41
withdrawal,95,1036,93
withdrawal,60,1037,23
withdrawal,66,1038,35
deposit,51,1039,50
withdrawal,27,1040,5
withdrawal,32,1041,83
deposit,81,1042,3
withdrawal,95,1043,66
withdrawal,43,1044,16
withdrawal,43,1045,34
deposit,30,1046,25
withdrawal,38,1047,2
deposit,6,1048,29
deposit,3,1049,51
withdrawal,80,1050,66
deposit,73,1051,75
deposit,39,1052,58
withdrawal,62,1053,70
withdrawal,93,1054,5
withdrawal,15,1055,83
withdrawal,54,1056,94
deposit,26,1057,12
withdrawal,60,1058,100
deposit,59,1059,3
withdrawal,83,1060,76
deposit,83,1061,28
withdrawal,74,1062,56
withdrawal,70,1063,65
deposit,50,1064,27
deposit,2,1065,17
deposit,97,1066,44
withdrawal,33,1067,83
withdrawal,52,1068,76
deposit,81,1069,41
withdrawal,92,1070,17
deposit,52,1071,93
deposit,15,1072,77
deposit,1,1073,19
withdrawal,14,1074,65
withdrawal,94,1075,90
withdrawal,91,1076,59
deposit,16,1077,13
withdrawal,57,1078,5
deposit,67,1079,97
withdrawal,87,1080,0
deposit,74,1081,56
deposit,87,1082,53
withdrawal,43,1083,94
withdrawal,73,1084,74
deposit,66,1085,23
withdrawal,88,1086,80
withdrawal,39,1087,93
deposit,68,1088,59
withdrawal,26,1089,33
withdrawal,98,1090,61
withdrawal,82,1091,53
withdrawal,31,1092,82
withdrawal,80,1093,34
withdrawal,56,1094,37
withdrawal,87,1095,98
deposit,81,1096,68
deposit,28,1097,19
deposit,100,1098,34
withdrawal,100,1099,92
deposit,65,1100,35
deposit,31,1101,7
deposit,26,1102,27
deposit,34,1103,85
deposit,13,1104,100
deposit,55,1105,82
deposit,97,1106,13
deposit,87,1107,98
deposit,96,1108,9
deposit,55,1109,64
withdrawal,57,1110,96
withdrawal,60,1111,88
withdrawal,100,1112,51
withdrawal,63,1113,56
withdrawal,4,1114,9
deposit,72,1115,1
deposit,98,1116,9
deposit,10,1117,8
deposit,55,1118,32
deposit,0,1119,63
deposit,89,1120,41
deposit,57,1121,86
withdrawal,16,1122,60
deposit,46,1123,97
withdrawal,32,1124,24
withdrawal,64,1125,39
deposit,40,1126,32
withdrawal,62,1127,70
withdrawal,65,1128,32
deposit,10,1129,70
deposit,81,1130,89
deposit,47,1131,97
deposit,5,1132,8
withdrawal,40,1133,56
withdrawal,23,1134,21
deposit,39,1135,41
deposit,88,1136,24
deposit,61,1137,95
withdrawal,88,1138,57
deposit,27,1139,91
deposit,23,1140,87
deposit,71,1141,13
deposit,27,1142,79
withdrawal,36,1143,30
deposit,31,1144,32
deposit,96,1145,76
withdrawal,54,1146,42
deposit,2,1147,82
withdrawal,5,1148,36
withdrawal,90,1149,43
deposit,11,1150,71
withdrawal,98,1151,75
deposit,78,1152,24
withdrawal,47,1153,2
withdrawal,81,1154,77
deposit,94,1155,7
withdrawal,68,1156,83
deposit,100,1157,24
withdrawal,48,1158,77
withdrawal,37,1159,10
deposit,20,1160,36
withdrawal,74,1161,24
withdrawal,20,1162,11
deposit,26,1163,61
withdrawal,43,1164,2
withdrawal,20,1165,15
withdrawal,53,1166,12
deposit,37,1167,54
withdrawal,61,1168,29
deposit,84,1169,20
withdrawal,12,1170,24
withdrawal,44,1171,26
deposit,43,1172,97
withdrawal,45,1173,12
withdrawal,57,1174,83
deposit,64,1175,40
deposit,22,1176,51
deposit,74,1177,19
withdrawal,42,1178,18
deposit,84,1179,92
deposit,77,1180,16
withdrawal,98,1181,44
withdrawal,91,1182,30
deposit,20,1183,90
withdrawal,23,1184,18
deposit,29,1185,74
deposit,54,1186,90
deposit,18,1187,18
deposit,26,1188,0
deposit,46,1189,31
deposit,28,1190,82
deposit,86,1191,78
withdrawal,25,1192,61
withdrawal,36,1193,90
deposit,78,1194,49
withdrawal,40,1195,88
deposit,100,1196,72
deposit,54,1197,61
withdrawal,41,1198,90
deposit,91,1199,97
withdrawal,69,1200,82
withdrawal,69,1201,94
withdrawal,74,1202,38
deposit,83,1203,8
withdrawal,65,1204,14
deposit,7,1205,33
withdrawal,95,1206,18
deposit,42,1207,8
withdrawal,83,1208,0
withdrawal,31,1209,68
deposit,65,1210,65
withdrawal,28,1211,81
withdrawal,46,1212,76
withdrawal,26,1213,52
deposit,60,1214,24
deposit,67,1215,92
deposit,80,1216,75
withdrawal,52,1217,35
deposit,46,1218,52
deposit,8,1219,42
withdrawal,34,1220,79
withdrawal,29,1221,87
withdrawal,39,1222,7
deposit,65,1223,49
withdrawal,18,1224,54
withdrawal,49,1225,30
deposit,33,1226,91
withdrawal,42,1227,25
withdrawal,20,1228,41
deposit,35,1229,71
withdrawal,64,1230,60
withdrawal,34,1231,57
deposit,92,1232,72
deposit,82,1233,2
deposit,89,1234,52
deposit,66,1235,76
deposit,39,1236,29
deposit,90,1237,8
deposit,89,1238,2
deposit,98,1239,72
deposit,73,1240,77
withdrawal,18,1241,32
withdrawal,59,1242,7
withdrawal,13,1243,27
withdrawal,70,1244,92
deposit,43,1245,97
deposit,1,1246,47
